ch1,ch2,ch3,ch4,tag,name
814.3223267,794.5787354,798.6080322,812.3076782,B,HK
793.3699341,802.6373901,798.6080322,778.8644409,B,HK
834.4688721,807.0695801,797.399292,818.7545776,B,HK
823.1868286,799.0109863,811.9047852,817.5457764,B,HK
795.3846436,790.5494385,799.8168335,803.4432373,B,HK
779.6703491,796.9963379,796.9963379,789.7435913,B,HK
838.901123,805.0549316,802.6373901,825.2014771,B,HK
774.0292969,788.53479,801.0256348,789.7435913,B,HK
811.098877,805.0549316,796.9963379,812.7106323,B,HK
833.2600708,802.6373901,800.2197876,815.1282349,B,HK
783.699646,805.0549316,797.399292,781.6849976,B,HK
781.6849976,799.8168335,795.3846436,785.7142944,B,HK
829.633728,799.0109863,804.2490845,817.9487305,B,HK
810.2930298,794.9816895,799.0109863,809.0842285,B,HK
762.7472534,783.2966919,792.1611938,787.3259888,B,HK
828.8278198,798.2051392,803.8461304,825.6043701,B,HK
777.6557007,790.1465454,797.8021851,792.1611938,B,HK
805.0549316,799.8168335,807.8754883,801.4285889,B,HK
816.7399292,789.3406372,786.5201416,799.4139404,B,HK
809.0842285,795.3846436,799.0109863,796.9963379,B,HK
779.6703491,801.0256348,805.0549316,786.5201416,B,HK
816.3369751,794.5787354,805.8607788,815.1282349,B,HK
768.7911987,803.0402832,811.5018311,781.6849976,B,HK
815.1282349,807.8754883,796.5933838,802.234436,B,HK
815.1282349,800.2197876,799.0109863,807.8754883,B,HK
771.6116943,793.3699341,796.1904907,789.7435913,B,HK
830.4395752,802.6373901,805.0549316,819.1575317,B,HK
785.7142944,791.3552856,782.8937988,790.1465454,B,HK
798.6080322,798.2051392,807.4725342,790.1465454,B,HK
828.8278198,802.6373901,798.6080322,809.0842285,B,HK
770,790.9523926,794.1758423,780.4761963,B,HK
819.5604248,803.4432373,792.1611938,812.7106323,B,HK
797.8021851,794.1758423,810.6959839,805.0549316,B,HK
803.0402832,793.7728882,792.5640869,801.8314819,B,HK
801.8314819,799.4139404,799.4139404,798.2051392,B,HK
782.8937988,794.5787354,799.4139404,793.7728882,B,HK
817.1428833,796.9963379,806.666687,799.0109863,B,HK
779.267395,790.5494385,797.8021851,798.6080322,B,HK
830.8424683,803.8461304,801.0256348,805.0549316,B,HK
777.2527466,789.3406372,800.6226807,794.9816895,B,HK
806.2637329,796.9963379,797.399292,842.1245117,B,HK
809.4871826,800.6226807,806.2637329,786.1171875,B,HK
838.0952148,799.0109863,796.5933838,800.6226807,B,HK
832.8571167,802.234436,800.2197876,817.1428833,B,HK
770.4029541,799.0109863,798.6080322,793.3699341,B,HK
822.7838745,799.0109863,801.0256348,806.2637329,B,HK
785.3113403,800.6226807,797.399292,784.5054932,B,HK
828.0219727,801.8314819,798.2051392,812.3076782,B,HK
794.5787354,797.399292,801.4285889,801.4285889,B,HK
786.1171875,792.967041,805.8607788,800.6226807,B,HK
816.7399292,804.2490845,800.2197876,801.4285889,B,HK
778.4615479,794.5787354,796.5933838,775.2380981,B,HK
828.4249268,803.8461304,800.6226807,805.8607788,B,HK
778.0585938,801.4285889,786.5201416,795.7875366,B,HK
