ch1,ch2,ch3,ch4,Value
805.054931640625,799.816833496093,807.87548828125,801.428588867187,B
816.739929199218,789.340637207031,786.520141601562,799.413940429687,B
809.084228515625,795.384643554687,799.010986328125,796.996337890625,B
779.670349121093,801.025634765625,805.054931640625,786.520141601562,B
816.336975097656,794.578735351562,805.860778808593,815.128234863281,B
768.791198730468,803.040283203125,811.501831054687,781.684997558593,B
815.128234863281,807.87548828125,796.593383789062,802.234436035156,B
815.128234863281,800.219787597656,799.010986328125,807.87548828125,B
771.611694335937,793.369934082031,796.190490722656,789.743591308593,B
830.439575195312,802.637390136718,805.054931640625,819.157531738281,B
785.714294433593,791.355285644531,782.893798828125,790.146545410156,B
798.608032226562,798.205139160156,807.472534179687,790.146545410156,B
828.827819824218,802.637390136718,798.608032226562,809.084228515625,B
770,790.952392578125,794.175842285156,780.476196289062,B
819.560424804687,803.443237304687,792.161193847656,812.710632324218,B
797.802185058593,794.175842285156,810.695983886718,805.054931640625,B
803.040283203125,793.772888183593,792.564086914062,801.831481933593,B
801.831481933593,799.413940429687,799.413940429687,798.205139160156,B
782.893798828125,794.578735351562,799.413940429687,793.772888183593,B
817.142883300781,796.996337890625,806.666687011718,799.010986328125,B
779.267395019531,790.549438476562,797.802185058593,798.608032226562,B
830.842468261718,803.846130371093,801.025634765625,805.054931640625,B
777.252746582031,789.340637207031,800.622680664062,794.981689453125,B
