ch1,ch2,ch3,ch4,Value,Tag
801.428588867188,799.413940429688,808.681335449219,806.263732910156,R,HK
807.069580078125,802.637390136719,800.219787597656,795.384643554688,R,HK
793.369934082031,803.443237304688,802.637390136719,795.787536621094,R,HK
793.772888183594,807.472534179687,804.652038574219,800.219787597656,R,HK
801.025634765625,792.967041015625,801.025634765625,811.098876953125,R,HK
797.802185058594,797.802185058594,806.666687011719,809.89013671875,R,HK
795.787536621094,788.937744140625,808.681335449219,806.263732910156,R,HK
797.399291992187,803.040283203125,800.219787597656,791.355285644531,R,HK
797.802185058594,795.384643554688,798.205139160156,794.981689453125,R,HK
809.89013671875,803.443237304688,794.175842285156,801.025634765625,R,HK
811.098876953125,809.487182617188,801.831481933594,814.322326660156,R,HK
801.831481933594,806.666687011719,790.549438476563,798.608032226563,R,HK
786.923095703125,812.307678222656,791.355285644531,776.0439453125,R,HK
806.263732910156,802.637390136719,799.010986328125,799.413940429688,R,HK
792.564086914063,794.175842285156,803.846130371094,794.981689453125,R,HK
800.219787597656,796.996337890625,806.263732910156,802.234436035156,R,HK
799.413940429688,785.714294433594,809.084228515625,807.069580078125,R,HK
790.549438476563,792.564086914063,804.249084472656,794.175842285156,R,HK
792.967041015625,789.743591308594,807.87548828125,796.593383789063,R,HK
809.084228515625,800.622680664062,802.637390136719,805.457885742188,R,HK
807.069580078125,796.996337890625,806.263732910156,811.90478515625,R,HK
792.161193847656,789.340637207031,800.622680664062,785.311340332031,R,HK
804.249084472656,788.937744140625,794.981689453125,799.413940429688,R,HK
790.952392578125,796.996337890625,797.802185058594,782.087890625,R,HK
801.428588867188,794.578735351563,801.025634765625,801.831481933594,R,HK
809.084228515625,800.622680664062,805.054931640625,805.860778808594,R,HK
806.666687011719,790.549438476563,795.384643554688,803.443237304688,R,HK
796.190490722656,797.802185058594,803.443237304688,800.622680664062,R,HK
806.666687011719,794.578735351563,810.293029785156,815.93408203125,R,HK
799.816833496094,799.816833496094,802.234436035156,804.249084472656,R,HK
802.234436035156,799.010986328125,800.219787597656,803.846130371094,R,HK
807.87548828125,785.311340332031,818.754577636719,819.96337890625,R,HK
809.084228515625,796.593383789063,802.234436035156,811.90478515625,R,HK
803.040283203125,796.593383789063,797.802185058594,796.190490722656,R,HK
803.443237304688,800.622680664062,806.666687011719,796.190490722656,R,HK
809.487182617188,788.131896972656,809.084228515625,811.90478515625,R,HK
795.384643554688,788.534790039062,799.413940429688,798.608032226563,R,HK
798.205139160156,801.831481933594,796.593383789063,791.355285644531,R,HK
801.831481933594,795.787536621094,799.010986328125,797.399291992187,R,HK
797.399291992187,796.996337890625,797.399291992187,790.952392578125,R,HK
811.501831054687,802.637390136719,798.205139160156,810.695983886719,R,HK
811.098876953125,807.472534179687,803.040283203125,800.622680664062,R,HK
805.054931640625,801.831481933594,827.619018554688,814.322326660156,R,HK
795.787536621094,790.146545410156,810.695983886719,796.996337890625,R,HK
804.652038574219,797.802185058594,800.219787597656,796.190490722656,R,HK
822.380981445312,799.413940429688,805.860778808594,815.93408203125,R,HK
796.190490722656,800.622680664062,798.608032226563,779.267395019531,R,HK
806.666687011719,796.190490722656,794.175842285156,798.608032226563,R,HK
815.531127929688,797.802185058594,811.098876953125,816.336975097656,R,HK
805.457885742188,797.802185058594,801.831481933594,793.369934082031,R,HK
813.516479492188,792.564086914063,812.307678222656,812.307678222656,R,HK
805.054931640625,788.131896972656,815.531127929688,801.428588867188,R,HK
803.846130371094,796.190490722656,804.249084472656,805.054931640625,R,HK
802.234436035156,796.190490722656,799.010986328125,809.084228515625,R,HK
796.190490722656,793.772888183594,802.637390136719,791.758239746094,R,HK
794.175842285156,799.010986328125,801.025634765625,790.549438476563,R,HK
815.531127929688,792.564086914063,801.025634765625,811.098876953125,R,HK
796.996337890625,792.161193847656,800.622680664062,804.249084472656,R,HK
813.91943359375,805.860778808594,803.846130371094,815.93408203125,R,HK
794.981689453125,793.369934082031,796.593383789063,795.384643554688,R,HK
796.996337890625,803.040283203125,803.443237304688,796.190490722656,R,HK
796.593383789063,795.384643554688,789.743591308594,806.666687011719,R,HK
809.89013671875,798.608032226563,808.278381347656,814.725280761719,R,HK
806.263732910156,795.384643554688,796.190490722656,807.069580078125,R,HK
795.384643554688,789.743591308594,797.802185058594,790.952392578125,R,HK
815.531127929688,789.340637207031,806.263732910156,821.172180175781,R,HK
792.967041015625,799.413940429688,804.652038574219,805.457885742188,R,HK
796.996337890625,816.336975097656,771.611694335938,781.282043457031,R,HK
799.413940429688,797.399291992187,795.787536621094,801.831481933594,R,HK
803.040283203125,796.996337890625,805.457885742188,808.681335449219,R,HK
796.593383789063,786.923095703125,838.901123046875,805.860778808594,R,HK
807.87548828125,794.175842285156,812.307678222656,805.054931640625,R,HK
792.564086914063,797.399291992187,798.608032226563,792.161193847656,R,HK
794.578735351563,796.190490722656,799.413940429688,791.355285644531,R,HK
803.040283203125,805.054931640625,794.578735351563,800.219787597656,R,HK
809.084228515625,801.831481933594,803.443237304688,801.428588867188,R,HK
809.89013671875,799.413940429688,799.816833496094,801.025634765625,R,HK
793.772888183594,796.996337890625,807.87548828125,791.758239746094,R,HK
789.743591308594,797.399291992187,803.846130371094,795.384643554688,R,HK
802.637390136719,799.413940429688,793.369934082031,811.501831054687,R,HK
806.666687011719,798.205139160156,808.278381347656,808.278381347656,R,HK
803.040283203125,797.399291992187,803.443237304688,813.516479492188,R,HK
796.190490722656,800.622680664062,805.054931640625,798.205139160156,R,HK
815.93408203125,795.787536621094,807.472534179687,815.93408203125,R,HK
804.652038574219,799.010986328125,803.846130371094,798.608032226563,R,HK
801.831481933594,799.413940429688,801.428588867188,797.399291992187,R,HK
803.846130371094,796.593383789063,798.608032226563,803.443237304688,R,HK
813.516479492188,801.025634765625,799.816833496094,809.487182617188,R,HK
803.040283203125,794.175842285156,800.622680664062,794.981689453125,R,HK
799.816833496094,793.772888183594,801.831481933594,803.443237304688,R,HK
803.846130371094,798.205139160156,801.025634765625,804.249084472656,R,HK
807.87548828125,801.025634765625,797.399291992187,807.069580078125,R,HK
800.219787597656,775.238098144531,808.681335449219,805.457885742188,R,HK
813.91943359375,790.952392578125,809.487182617188,803.443237304688,R,HK
812.307678222656,799.413940429688,802.637390136719,805.457885742188,R,HK
792.564086914063,794.175842285156,796.190490722656,796.190490722656,R,HK
801.428588867188,808.278381347656,802.234436035156,796.996337890625,R,HK
778.864440917969,800.219787597656,804.652038574219,777.252746582031,R,HK
800.219787597656,801.428588867188,801.831481933594,798.205139160156,R,HK
811.90478515625,796.593383789063,807.87548828125,818.351623535156,R,HK
794.981689453125,793.369934082031,797.399291992187,789.743591308594,R,HK
803.040283203125,793.772888183594,799.816833496094,791.355285644531,R,HK
824.395629882813,783.699645996094,815.531127929688,819.96337890625,R,HK
819.157531738281,797.399291992187,804.249084472656,810.695983886719,R,HK
801.428588867188,801.428588867188,796.593383789063,801.025634765625,R,HK
804.652038574219,797.399291992187,806.263732910156,800.622680664062,R,HK
813.516479492188,807.87548828125,806.666687011719,820.366271972656,R,HK
817.545776367188,822.783874511719,790.952392578125,816.336975097656,R,HK
807.069580078125,830.03662109375,789.340637207031,801.428588867188,R,HK
819.157531738281,817.142883300781,792.564086914063,825.201477050781,R,HK
803.443237304688,813.113525390625,787.728942871094,802.637390136719,R,HK
813.113525390625,804.652038574219,790.146545410156,801.428588867188,R,HK
814.725280761719,803.040283203125,804.249084472656,803.846130371094,R,HK
803.846130371094,801.428588867188,801.831481933594,803.846130371094,R,HK
795.787536621094,794.175842285156,799.413940429688,792.161193847656,R,HK
790.952392578125,794.175842285156,805.054931640625,791.355285644531,R,HK
796.190490722656,788.937744140625,811.098876953125,798.205139160156,R,HK
807.472534179687,799.010986328125,808.681335449219,803.846130371094,R,HK
800.219787597656,792.161193847656,805.457885742188,794.981689453125,R,HK
797.399291992187,787.325988769531,805.860778808594,788.937744140625,R,HK
